<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.29	16:00:00	2758.61	2760.99	2756.26	2757.46	6439	0	20
2025.01.29	16:30:00	2757.46	2760.91	2756.89	2759.14	8934	0	20
2025.01.29	17:00:00	2759.20	2759.64	2749.87	2750.16	7616	0	20
2025.01.29	17:30:00	2750.13	2754.55	2748.37	2754.07	6625	0	20
2025.01.29	18:00:00	2754.08	2756.06	2751.49	2752.45	6311	0	20
2025.01.29	18:30:00	2752.42	2753.48	2748.34	2751.42	5900	0	20
2025.01.29	19:00:00	2751.45	2754.26	2750.96	2751.99	4274	0	20
2025.01.29	19:30:00	2751.94	2754.22	2751.21	2752.68	2403	0	20
2025.01.29	20:00:00	2752.68	2753.72	2748.62	2753.61	4801	0	20
2025.01.29	20:30:00	2753.62	2753.78	2750.18	2751.35	3723	0	20
2025.01.29	21:00:00	2751.35	2751.39	2744.80	2745.58	8635	0	20
2025.01.29	21:30:00	2745.57	2757.70	2744.47	2755.16	9357	0	20
2025.01.29	22:00:00	2755.06	2758.83	2752.55	2756.89	5776	0	20
2025.01.29	22:30:00	2756.89	2757.61	2754.21	2755.00	3692	0	20
2025.01.29	23:00:00	2755.00	2756.78	2753.89	2756.50	1987	0	20
2025.01.29	23:30:00	2756.49	2759.79	2756.10	2759.79	1604	0	20
2025.01.30	01:00:00	2759.23	2760.16	2757.94	2759.84	517	0	31
2025.01.30	01:30:00	2759.85	2760.16	2759.21	2760.16	803	0	48
2025.01.30	02:00:00	2760.06	2761.14	2758.88	2761.07	828	0	31
2025.01.30	02:30:00	2761.06	2762.48	2760.93	2761.98	1783	0	25
2025.01.30	03:00:00	2761.91	2761.91	2758.86	2760.66	2320	0	32
2025.01.30	03:30:00	2760.66	2761.23	2759.49	2759.91	2049	0	20
2025.01.30	04:00:00	2759.89	2761.39	2759.50	2760.47	1883	0	20
2025.01.30	04:30:00	2760.50	2760.51	2759.14	2760.25	1862	0	20
2025.01.30	05:00:00	2760.21	2761.29	2759.27	2760.48	2275	0	20
2025.01.30	05:30:00	2760.56	2762.52	2760.55	2761.72	2053	0	20
2025.01.30	06:00:00	2761.72	2763.25	2761.45	2762.16	2048	0	20
2025.01.30	06:30:00	2762.16	2762.16	2759.70	2760.28	2488	0	24
2025.01.30	07:00:00	2760.31	2760.95	2759.51	2760.31	1682	0	20
2025.01.30	07:30:00	2760.31	2761.00	2758.61	2760.46	2637	0	25
2025.01.30	08:00:00	2760.43	2762.29	2760.18	2761.00	3493	0	20
2025.01.30	08:30:00	2761.00	2766.32	2760.58	2765.43	3920	0	20
2025.01.30	09:00:00	2765.44	2768.29	2764.80	2766.39	5101	0	20
