<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.04	06:30:00	2820.29	2821.52	2818.09	2818.99	2303	0	25
2025.02.04	07:00:00	2819.15	2819.17	2813.44	2816.70	5344	0	25
2025.02.04	07:30:00	2816.75	2817.82	2814.66	2815.69	3450	0	25
2025.02.04	08:00:00	2815.68	2816.02	2811.00	2812.13	3272	0	25
2025.02.04	08:30:00	2812.12	2813.93	2810.81	2813.36	3397	0	25
2025.02.04	09:00:00	2813.36	2814.55	2807.37	2807.54	4034	0	25
2025.02.04	09:30:00	2807.58	2813.88	2807.30	2812.60	3871	0	25
2025.02.04	10:00:00	2812.54	2819.11	2809.99	2816.84	5038	0	25
2025.02.04	10:30:00	2816.82	2817.58	2811.72	2815.02	4567	0	25
2025.02.04	11:00:00	2815.06	2817.75	2814.01	2816.92	4444	0	25
2025.02.04	11:30:00	2816.94	2821.66	2815.95	2820.44	4057	0	25
2025.02.04	12:00:00	2820.43	2820.43	2815.46	2816.01	3834	0	25
2025.02.04	12:30:00	2815.95	2816.36	2812.58	2814.78	4041	0	25
2025.02.04	13:00:00	2814.78	2815.89	2813.19	2815.26	3541	0	25
2025.02.04	13:30:00	2815.21	2816.89	2814.11	2815.32	3419	0	25
2025.02.04	14:00:00	2815.33	2819.98	2814.47	2819.43	3834	0	25
2025.02.04	14:30:00	2819.44	2822.97	2819.04	2821.80	3970	0	25
2025.02.04	15:00:00	2821.83	2835.11	2821.51	2835.03	5243	0	25
2025.02.04	15:30:00	2835.02	2837.00	2830.23	2831.61	5127	0	25
2025.02.04	16:00:00	2831.62	2838.00	2828.92	2837.30	5745	0	25
2025.02.04	16:30:00	2837.31	2841.34	2835.82	2838.94	5946	0	25
2025.02.04	17:00:00	2838.94	2844.27	2838.94	2843.55	6377	0	25
2025.02.04	17:30:00	2843.57	2845.31	2833.59	2835.87	5513	0	25
2025.02.04	18:00:00	2835.83	2842.41	2832.60	2841.44	5506	0	25
